Season,League,League,League,League,League,League,League,League,League,Cup[1],Sup,Other competitions,Other competitions,Other competitions,Other competitions,Other competitions,Top scorer[2],Top scorer[2]
Season,Division,P,W,D,L,F,A,Pts,Pos,Cup[1],Sup,CL[3],UC[4],CW,SC[5],CWC[6],Name,Goals
1928–29,La Liga,18,8,2,8,43,41,18,6th,QF,,,,,,,Cosme Vázquez [es],24
1929–30,La Liga,18,5,2,11,32,50,12,10th,R32,,,,,,,Luis Marín Sabater,24
1930–31,2ª División,18,11,1,6,47,31,23,3rd,R32,,,,,,,unknown,
1931–32,2ª División,16,8,2,6,38,34,18,4th,R16,,,,,,,unknown,
1932–33,2ª División,18,12,3,3,58,26,27,2nd,R16,,,,,,,unknown,
1933–34,2ª División,18,11,2,5,45,28,24,2nd,1R,,,,,,,unknown,
1934–35,La Liga,22,8,5,9,53,38,21,7th,QF,,,,,,,Elícegui,28
1935–36,La Liga,22,6,3,13,34,50,15,11th,3R,,,,,,,Elícegui,14
1936–39,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War,Spanish Civil War
1939–40,La Liga,22,14,1,7,43,29,29,W,R16,,,,,,,Enrique,13
1940–41,La Liga,22,13,7,2,70,36,33,W,QF,,,,,,,Pruden Sánchez,39
1941–42,La Liga,26,14,5,7,50,44,33,3rd,QF,,,,,,,Francisco Campos,20
1942–43,La Liga,26,11,5,10,54,44,27,8th,QF,,,,,,,Mariano Uceda Valdelvira,16
1943–44,La Liga,26,15,4,7,66,49,34,2nd,SF,,,,,,,Francisco Campos,17
1944–45,La Liga,26,13,5,8,46,41,31,3rd,QF,,,,,,,Francisco Campos,12
1945–46,La Liga,26,10,6,10,50,48,26,7th,QF,,,,,,,Francisco Campos,16
1946–47,La Liga,26,13,6,7,58,44,32,3rd,R16,,,,,,,Manuel Jorge Sosa,13
